,title,href,tag,summary
0,Cubans join rare protests as economy struggles,/news/world-latin-america-57799852,Latin America & Caribbean,"Cubans have been angered by an economic crisis, anti-Covid measures and curbs on civil liberties."
1,South Africa deploys military to tackle Zuma riots,https://www.bbc.com/news/world-africa-57803513,Africa,
2,Rashford mural defaced after England Euro defeat,https://www.bbc.com/news/uk-england-manchester-57803161,Manchester,
3,UK bans fifth neo-Nazi group under terror laws,https://www.bbc.com/news/uk-57806800,UK,
4,The enduring power of 'pay secrecy',https://www.bbc.com/worklife/article/20210708-pay-secrecy-why-some-workers-cant-discuss-salaries,Worklife,
5,'Key suspect' held over Haiti president's killing,/news/world-latin-america-57800152,Latin America & Caribbean,"Christian Emmanuel Sanon flew to Haiti on a private jet in June with ""political motives"", police say."
6,Rare protests see thousands on streets of Cuba,/news/world-latin-america-57803481,Latin America & Caribbean,Protesters say they are angry about the government’s handling of both coronavirus and the economy.
7,Inside the Miami building collapse recovery operation,/news/world-us-canada-57795441,US & Canada,"Miami-Dade Fire Rescue show how workers are clearing the ""enormous"" pile of ruins that remains."
8,Reaction after England suffer Euro 2020 final heartbreak,/sport/live/football/57800991,Football,"Reaction as England lose to Italy on penalties in the Euro 2020 final, plus all the latest transfer news."
9,Italy spoil England's 'coming home' party,/sport/football/57800141,Football,"England are left singing the same old song as Italy spoil their 'coming home' party by winning Euro 2020, writes Phil McNulty."
10,'It is down to me' - Southgate rallies around trio,/sport/football/57800291,Football,"All too aware of the pain of a penalty miss, England boss Gareth Southgate rallied around the trio who missed theirs in the Euro 2020 final."
11,Inside the Frozen Zoo bringing animals back from extinction,/reel/video/p09nxnxj/inside-the-frozen-zoo-bringing-animals-back-from-extinction,,
12,The Swiss bolthole to escape nuclear war hidden in Ireland,/reel/video/p09nnq1v/where-a-swiss-spy-built-the-perfect-hideout-from-nuclear-war,,
13,Why our brains never actually take a rest,/reel/video/p09mtl6p/why-it-s-good-to-let-your-mind-wander,,
14,What were Neanderthal children like?,https://www.bbc.com/future/article/20210706-the-secret-lives-of-neanderthal-children,Future,New archaeological discoveries are giving insights into Neanderthal childhood
15,A new era of gay sex in pop,https://www.bbc.com/culture/article/20210708-pops-gay-sexual-revolution,Culture,From Lil Nas X to Cardi B: how gay and queer stars are sexing up their acts
16,How to tell if you have 'boreout',https://www.bbc.com/worklife/article/20210701-the-damaging-effects-of-boreout-at-work,Worklife,Why chronic boredom at work could be as bad as burnout
17,The UK town that inspired the Olympics,https://www.bbc.com/travel/article/20210711-the-uk-town-that-inspired-the-olympics,Travel,"Challenges included a blindfolded wheelbarrow race and an ""old women's race"""
18,Euro 2020: Why abuse remains rife on social media,https://www.bbc.com/news/technology-57803940,Technology,Racist abuse aimed at football players following Sunday's tournament finale has been widely...
19,How England fans went from joy to sorrow - pictures,https://www.bbc.com/news/in-pictures-57796519,In Pictures,High hopes and nerves give way to fear and sorrow as England lose to Italy on penalties
20,Half of staff care less about careers since Covid,https://www.bbc.co.uk/news/business-57798908,Business,"More of us worry about work-related burnout since the start of the pandemic, an Aviva study shows"
21,The tree boosting Brazilan beef,/future/article/20210629-the-australian-tree-cutting-brazilian-beefs-emissions,,
22,Why building is so clean in Scandinavia,/future/article/20210622-the-scandinavian-way-to-zero-carbon-construction,,
23,The idyllic Indian beach that vanished,/future/article/20210615-the-force-that-could-redraw-the-peninsula-of-india,,
24,Billionaire Branson rockets to the edge of space,/news/science-environment-57797297,Science & Environment,The UK businessman realises a lifetime's ambition by riding a rocket plane high into the sky.
25,Nicola Roberts criticises online hate bill,/news/entertainment-arts-57808653,Entertainment & Arts,
26,Pollution-eating car shown off at Goodwood Festival,/news/technology-57777329,Technology,
27,Thailand changes vaccination policy as cases spike,/news/world-asia-57801251,Asia,
28,Record numbers of manatees dying in Florida,/news/world-us-canada-57802165,US & Canada,
29,TV audience of 31m watch England lose Euro final,/news/entertainment-arts-57802981,Entertainment & Arts,
30,Woman aged 90 died with double Covid variant,/news/health-57761343,Health,
31,Exhibition reveals people behind rare illnesses,/news/uk-wales-57748393,Wales,
32,Photographer shows the authentic face of black Britain,/news/entertainment-arts-57733386,Entertainment & Arts,
33,"Africa's top shots: Twirls, fringes and wedding flames",/news/world-africa-57763982,Africa,
34,London's air pollution turned into art,/news/in-pictures-56986767,In Pictures,
35,Astronomy photo competition shortlist revealed,/news/in-pictures-57653901,In Pictures,
